user_id,is_anomalous_gt,if_score,lof_score,trans_score,ensemble_score,calibrated_score,alert_tier,if_flagged,lof_flagged,trans_flagged,ensemble_flagged,shap_top1_feature,shap_top1_value,shap_top2_feature,shap_top2_value,shap_top3_feature,shap_top3_value,trans_top1_feature,trans_top1_err,trans_top2_feature,trans_top2_err,trans_top3_feature,trans_top3_err,llm_risk_summary,collusion_risk_score,login_risk_score,financial_risk_score,trading_risk_score,network_risk_score,composite_risk_score
U0001,0,0.101762,0.0,0.006624,0.241011,0.074546,LOW,0,0,0,0,password_change_count,-0.1541,rolling_7d_trade_count_zscore,-0.1122,graph_component_size,-0.0754,daily_login_count,1.04058,daily_session_count,0.874921,daily_trade_count,0.635973,,0.76,0.0365511733138842,0.1783020008828295,0.2059405135005449,0.044513195787396,0.1232192761719599
U0002,1,0.251282,0.0,0.006624,0.298303,0.201515,LOW,1,1,0,0,min_session_duration,-0.2679,volume_pop_zscore,-0.2206,std_volume_7d,-0.2117,daily_pnl,13.441118,daily_volume,2.26965,daily_session_count,1.613213,,0.5,0.0952903948076804,0.0960134128636787,0.1689519954235182,0.023357503637989,0.0986297111687789
U0003,0,0.123095,0.0,0.006624,0.248707,0.091389,LOW,0,0,0,0,device_sharing_score,-0.2137,device_rotation_rate,-0.1594,account_modify_count,-0.1166,daily_deposit_amt,0.397004,daily_trade_count,0.237163,daily_unique_ips,0.19878,,0.8500000000000001,0.1032017747094623,0.1405539665750861,0.1590285963730562,0.0406703863191628,0.1105745703377607
U0004,0,0.164983,0.0,0.006624,0.264291,0.125697,LOW,0,0,0,0,small_deposit_ratio,-0.7564,small_deposit_count,-0.3406,sync_trade_count,-0.1208,daily_trade_count,2.097799,daily_login_count,1.085105,daily_session_count,0.817542,,0.5,0.0604883422156904,0.3416366082717946,0.1809088200603172,0.0420833504563099,0.1503511104068685
U0005,0,0.107898,0.0,0.006624,0.243208,0.079347,LOW,0,1,0,0,has_dep_with_cycle,-0.3596,lot_pop_zscore,-0.0932,withdrawal_count,-0.0897,daily_login_count,0.589123,daily_session_count,0.505271,daily_trade_count,0.355624,,0.5,0.1957907500906947,0.1928233424103619,0.1626625188777049,0.0244438096688861,0.1332662833487411
U0006,0,0.237291,0.0,0.006624,0.29262,0.188759,LOW,0,0,0,0,graph_betweenness,-0.2363,volume_pop_zscore,-0.1986,max_margin_used,-0.1447,daily_pnl,2.489726,daily_session_count,0.65428,daily_volume,0.455436,,0.79,0.0804619690667412,0.0362768009290998,0.1715617247186877,0.0312828929581172,0.087561906167568
U0007,0,0.13493,0.0,0.006624,0.253047,0.100916,LOW,0,0,0,0,duration_pop_zscore,-0.1979,portal_hour_entropy,-0.1402,rolling_7d_trade_count_zscore,-0.1019,daily_session_count,1.226623,daily_login_count,0.756417,daily_unique_ips,0.247869,,0.54,0.0337305365777077,0.182902930943112,0.2600494014906596,0.0193931267806513,0.1342155151086047
U0008,0,0.244076,0.0,0.006624,0.295368,0.194922,LOW,0,1,0,0,min_trade_duration_s,-0.3073,trade_dow_gini,-0.2951,bonus_abuse_flag,-0.2906,daily_login_count,0.547704,daily_session_count,0.492668,daily_unique_ips,0.32112,,0.3,0.0849095708113979,0.2164030972324466,0.1790537883756265,0.0065127808413573,0.1188220333114085
U0009,0,0.20062,0.0,0.006624,0.278032,0.156173,LOW,0,1,0,0,has_dep_with_cycle,-0.2741,bot_speed_pageview_count,-0.1175,rolling_30d_volume_zscore,-0.1118,daily_pnl,2.117489,daily_session_count,1.083002,daily_trade_count,0.701024,,0.73,0.1144396893081939,0.0976594554109276,0.2057122226470444,0.0472942691766172,0.1216387577297975
U0010,1,0.085237,0.0,0.006624,0.235162,0.06179,LOW,0,0,0,0,withdrawal_count,-0.1203,graph_component_size,-0.0709,event_type_entropy,-0.066,daily_login_count,1.040146,daily_trade_count,0.938549,daily_session_count,0.857008,,0.76,0.0804619690667412,0.2329838724425058,0.1982982485432063,0.0446166535046243,0.1390406187898687
