user_id,country,registered_at,kyc_verified,typical_deposit_amt,typical_trade_volume,typical_lot_size,typical_session_duration,trades_per_day,preferred_instrument,ips,devices,fingerprint,is_anomalous,anomaly_labels
U0001,ET,2022-02-16,True,1893.89,16173.72,0.82,22.08,3.0,USD/CHF,117.245.116.121,device_286,"{'browser': 'Chrome', 'os': 'iOS', 'screen_res': '1920x1080', 'timezone': 'UTC+9'}",False,
U0002,AT,2022-09-26,False,847.63,90053.63,0.58,36.81,2.0,GBP/USD,20.163.29.238,device_1035,"{'browser': 'Opera', 'os': 'Windows', 'screen_res': '3840x2160', 'timezone': 'UTC+3'}",True,kyc_before_withdrawal
U0003,JO,2022-02-05,True,2692.13,1305.69,0.14,15.45,1.0,NZD/USD,64.72.218.15,device_570|device_14,"{'browser': 'Firefox', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC+5:30'}",False,
U0004,MR,2023-06-26,True,104.21,9696.56,1.04,17.92,4.0,AUD/USD,44.55.82.251,device_779,"{'browser': 'Chrome', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC+9'}",False,
U0005,YE,2023-03-07,True,565.73,1124.78,3.62,43.4,2.0,USD/CAD,98.221.210.166|216.127.46.120|152.3.153.230,device_776,"{'browser': 'Chrome', 'os': 'iOS', 'screen_res': '1366x768', 'timezone': 'UTC+9'}",False,
U0006,KM,2022-11-27,True,286.31,89428.08,1.14,44.89,1.0,GBP/USD,130.175.85.112,device_467|device_593|device_164,"{'browser': 'Firefox', 'os': 'Windows', 'screen_res': '1280x720', 'timezone': 'UTC+5:30'}",False,
U0007,MG,2022-08-25,True,361.41,2884.19,0.12,8.73,1.0,AUD/USD,143.129.57.128,device_728|device_430,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '3840x2160', 'timezone': 'UTC+2'}",False,
U0008,GQ,2022-06-04,True,416.28,659.73,1.53,45.04,0.1,USD/JPY,43.239.58.24|164.134.233.133,device_553|device_1141,"{'browser': 'Firefox', 'os': 'Linux', 'screen_res': '1920x1080', 'timezone': 'UTC+3'}",False,
U0009,ID,2023-10-31,True,435.66,30276.53,0.69,18.42,3.0,NZD/USD,131.148.20.205|82.232.175.50,device_433,"{'browser': 'Opera', 'os': 'Linux', 'screen_res': '2560x1440', 'timezone': 'UTC-8'}",False,
U0010,MK,2022-10-23,True,894.06,6393.5,1.28,16.19,3.0,USD/CAD,81.98.144.76,device_286|device_506,"{'browser': 'Opera', 'os': 'iOS', 'screen_res': '1366x768', 'timezone': 'UTC+9'}",True,ip_hopper
U0011,KW,2022-09-20,True,1206.83,3498.97,0.7,22.31,2.0,NZD/USD,31.106.189.116|18.233.176.199,device_284,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '1920x1080', 'timezone': 'UTC+0'}",False,
U0012,MV,2023-08-12,True,1624.29,3140.16,1.44,52.29,2.0,USD/JPY,161.153.163.126|86.184.69.52|161.217.226.153,device_131|device_789,"{'browser': 'Edge', 'os': 'iOS', 'screen_res': '1280x720', 'timezone': 'UTC+8'}",False,
U0013,MH,2023-03-20,True,506.61,2318.32,0.68,31.59,2.0,EUR/USD,99.46.8.118|218.228.238.176|9.55.52.57,device_235|device_1100|device_547,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '1366x768', 'timezone': 'UTC-6'}",True,volume_spike
U0014,ZA,2023-06-24,True,1461.42,1102.65,1.38,23.18,4.0,USD/CHF,16.164.163.48|201.149.249.51|180.87.101.36,device_1040,"{'browser': 'Chrome', 'os': 'Linux', 'screen_res': '3840x2160', 'timezone': 'UTC+9'}",False,
U0015,LK,2023-05-13,True,132.87,3070.85,0.91,27.08,2.0,USD/JPY,86.112.217.38|126.211.133.117|38.194.46.190,device_2|device_664|device_1001,"{'browser': 'Chrome', 'os': 'Windows', 'screen_res': '1366x768', 'timezone': 'UTC+5:30'}",True,brute_force_login
U0016,SZ,2023-04-01,False,16474.46,1362.82,1.26,25.87,2.0,GBP/USD,63.196.61.59,device_996|device_142|device_1091,"{'browser': 'Firefox', 'os': 'MacOS', 'screen_res': '1280x720', 'timezone': 'UTC+8'}",False,
U0017,SR,2023-06-16,True,5131.09,11199.44,0.17,12.13,2.0,NZD/USD,93.222.90.126,device_412|device_639|device_818,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '3840x2160', 'timezone': 'UTC-8'}",False,
U0018,CH,2023-08-01,True,588.2,7347.93,1.61,9.83,2.0,GBP/USD,105.24.45.40|78.249.173.127,device_1135,"{'browser': 'Firefox', 'os': 'iOS', 'screen_res': '2560x1440', 'timezone': 'UTC+0'}",False,
U0019,RU,2023-09-21,True,463.32,48106.43,0.68,43.18,2.0,EUR/USD,130.147.166.70,device_65,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '3840x2160', 'timezone': 'UTC+3'}",True,collusion_ring
U0020,DZ,2023-02-20,True,283.17,836.9,0.16,53.21,4.0,XAU/USD,171.10.115.128|95.156.176.79|77.7.162.200,device_1170,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '2560x1440', 'timezone': 'UTC-8'}",False,
